date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:04	1856/1856	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:19%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.html	(from )
15:50:05	203/203	---M--	200	added ('OK')	text/plain	etag:%22cb-510040d715cc0%22	https://www.astro.umd.edu/robots.txt		(from )
15:50:05	13263/13263	---M--	200	added ('OK')	image/gif	etag:%2233cf-4305f6fa5b600%22	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/gfx/logoCode2med.gif	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/gfx/logoCode2med.gif	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:05	2802/2802	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:19%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/license.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/license.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:06	28755/28755	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:20%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_file.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_file.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:08	35903/35903	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:21%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_section.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_section.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:08	18713/18713	---M--	200	added ('OK')	image/gif	etag:%224919-4305f73d1d380%22	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/gfx/logoObsVerMed.gif	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/gfx/logoObsVerMed.gif	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:08	1701/1701	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:22%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/legacy/nr2/CPP_211/index.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/legacy/nr2/CPP_211/index.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:08	1690/1690	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:22%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/legacy/nr2/C_211/index.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/legacy/nr2/C_211/index.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
15:50:09	71164/71164	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Nov%202020%2010:20:21%20GMT	https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_ident.htm	C:/Users/prath/Desktop/Codes/Numerical%20Recipies/www.astro.umd.edu/_ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index_by_ident.html	(from https://www.astro.umd.edu/~ricotti/NEWWEB/teaching/ASTR415/InClassExamples/NR3/index.htm)
